Bots,Sensor,CommRange,Disable,FCD
25,0.75,0.35,0,[0.55866667 0.73866667 0.79733333 0.85866667]
25,0.75,0.35,10,[0.50311113 0.7266667  0.79555563 0.8688889 ]
25,0.75,0.35,15,[0.52466667 0.676      0.80666667 0.83      ]
25,0.75,0.35,16,[0.60207413 0.75511123 0.82592607 0.8555557 ]
25,0.75,0.35,17,[0.51983333 0.72       0.75833333 0.80833333]
25,0.75,0.35,18,[0.55409523 0.70914293 0.80476197 0.84285723]
25,0.75,0.35,19,[0.55244443 0.72355553 0.7888889  0.81111107]
25,0.75,0.35,20,[0.51066667 0.692      0.82       0.82666667]
25,0.75,0.35,21,[0.52033333 0.66366667 0.70833333 0.79166667]
25,0.75,0.35,22,[0.54222223 0.67111117 0.7111112  0.78888897]
25,0.75,0.35,23,[0.544      0.698      0.76666667 0.78333333]
25,0.75,0.35,24,[0.56533333 0.732      0.86666667 0.9       ]
25,0.75,0.65,0,[0.636      0.82266667 0.89466667 0.92133333]
25,0.75,0.65,10,[0.584      0.81377773 0.88444433 0.9155555 ]
25,0.75,0.65,15,[0.61       0.77933333 0.82       0.84333333]
25,0.75,0.65,16,[0.6031111  0.75303713 0.8296297  0.9148149 ]
25,0.75,0.65,17,[0.64633333 0.7895     0.84166667 0.825     ]
25,0.75,0.65,18,[0.65104763 0.75923817 0.7952382  0.9000001 ]
25,0.75,0.65,19,[0.64933333 0.77399997 0.8222222  0.8722222 ]
25,0.75,0.65,20,[0.63866667 0.76266667 0.81333333 0.82      ]
25,0.75,0.65,21,[0.655      0.79666667 0.78333333 0.83333333]
25,0.75,0.65,22,[0.684      0.688      0.72222227 0.76666663]
25,0.75,0.65,23,[0.684      0.81866667 0.83333333 0.9       ]
25,0.75,0.65,24,[0.63466667 0.85066667 0.93333333 0.96666667]
25,0.99,0.35,0,[0.84266667 0.95466667 0.984      0.992     ]
25,0.99,0.35,10,[0.82088887 0.9444444  0.98888883 0.9911111 ]
25,0.99,0.35,15,[0.84266667 0.96933333 0.97666667 0.99      ]
25,0.99,0.35,16,[0.85837043 0.9478519  0.9555556  0.9925926 ]
25,0.99,0.35,17,[0.8205     0.96183333 0.99583333 1.        ]
25,0.99,0.35,18,[0.8786667  0.96761907 0.9761905  0.9952381 ]
25,0.99,0.35,19,[0.8784444  0.96155553 0.98333333 1.        ]
25,0.99,0.35,20,[0.81466667 0.95866667 0.98       0.97333333]
25,0.99,0.35,21,[0.851      0.92       0.96666667 0.98333333]
25,0.99,0.35,22,[0.82844447 0.92711113 0.9777778  0.9888889 ]
25,0.99,0.35,23,[0.83133333 0.956      0.98333333 0.98333333]
25,0.99,0.35,24,[0.82666667 0.95333333 0.93333333 1.        ]
25,0.99,0.65,0,[0.884      0.98266667 0.98933333 0.99733333]
25,0.99,0.65,10,[0.9257778  0.98222223 0.98888883 0.99777777]
25,0.99,0.65,15,[0.92133333 0.96666667 1.         0.99666667]
25,0.99,0.65,16,[0.92533337 0.9401482  0.9925926  0.9962963 ]
25,0.99,0.65,17,[0.88716667 0.97366667 1.         1.        ]
25,0.99,0.65,18,[0.91352383 0.97238097 1.         1.        ]
25,0.99,0.65,19,[0.94022217 0.97377777 0.97777777 0.99444443]
25,0.99,0.65,20,[0.93466667 0.988      1.         1.        ]
25,0.99,0.65,21,[0.91633333 0.988      1.         1.        ]
25,0.99,0.65,22,[0.9328889 0.992     0.9888889 1.       ]
25,0.99,0.65,23,[0.91333333 0.978      0.95       0.98333333]
25,0.99,0.65,24,[0.93066667 0.98933333 1.         1.        ]
50,0.75,0.35,0,[0.59066667 0.71533333 0.80466667 0.88466667]
50,0.75,0.35,10,[0.55416667 0.70833333 0.81083333 0.85916667]
50,0.75,0.35,15,[0.56085717 0.74542857 0.83142857 0.86285717]
50,0.75,0.35,16,[0.58960783 0.72756867 0.8245097  0.86470577]
50,0.75,0.35,17,[0.59824247 0.74571737 0.82323247 0.8515153 ]
50,0.75,0.35,18,[0.54070833 0.720875   0.81041667 0.86666667]
50,0.75,0.35,19,[0.60202147 0.7189677  0.81075283 0.84946253]
50,0.75,0.35,20,[0.57266667 0.72755553 0.84       0.85999997]
50,0.75,0.35,21,[0.58747123 0.73537927 0.81264373 0.8678161 ]
50,0.75,0.35,22,[0.5765238  0.72076193 0.8178571  0.8559524 ]
50,0.75,0.35,23,[0.5484938  0.7215804  0.78024707 0.86543223]
50,0.75,0.35,24,[0.5613846  0.71364107 0.75769223 0.81923067]
50,0.75,0.65,0,[0.74133333 0.896      0.95466667 0.97866667]
50,0.75,0.65,10,[0.76916667 0.89116667 0.935      0.94166667]
50,0.75,0.65,15,[0.75095233 0.88104767 0.924762   0.9390477 ]
50,0.75,0.65,16,[0.7591765  0.87301957 0.92843123 0.9313724 ]
50,0.75,0.65,17,[0.7702223 0.852889  0.9000001 0.9343435]
50,0.75,0.65,18,[0.74804167 0.88129167 0.928125   0.93854167]
50,0.75,0.65,19,[0.75578493 0.86447313 0.89892483 0.9182797 ]
50,0.75,0.65,20,[0.74666667 0.84711107 0.89666673 0.93111117]
50,0.75,0.65,21,[0.73627587 0.8465748  0.89540237 0.94252877]
50,0.75,0.65,22,[0.75590473 0.84385717 0.91071423 0.90595237]
50,0.75,0.65,23,[0.74029633 0.868889   0.88271617 0.90617293]
50,0.75,0.65,24,[0.76235897 0.86753833 0.89999993 0.91153837]
50,0.99,0.35,0,[0.868      0.96       0.98666667 0.99266667]
50,0.99,0.35,10,[0.86266667 0.96433333 0.98       0.9925    ]
50,0.99,0.35,15,[0.86009527 0.94295247 0.9790477  0.98761913]
50,0.99,0.35,16,[0.86082347 0.94050973 0.9705881  0.98529407]
50,0.99,0.35,17,[0.8405657  0.94595963 0.9818182  0.9929293 ]
50,0.99,0.35,18,[0.86345833 0.95108333 0.990625   0.99583333]
50,0.99,0.35,19,[0.8858495  0.9509248  0.967742   0.97956993]
50,0.99,0.35,20,[0.84333333 0.95222223 0.9755556  0.9877778 ]
50,0.99,0.35,21,[0.84468967 0.95993107 0.96896553 0.9827587 ]
50,0.99,0.35,22,[0.8386191  0.9527143  0.9821429  0.99166667]
50,0.99,0.35,23,[0.8384939  0.94622227 0.97901237 0.99753087]
50,0.99,0.35,24,[0.8371282  0.94256403 0.9833332  0.9935897 ]
50,0.99,0.65,0,[0.95866667 0.98933333 1.         0.99933333]
50,0.99,0.65,10,[0.95866667 0.98916667 0.99583333 0.99833333]
50,0.99,0.65,15,[0.95780953 0.99009533 0.99523817 0.99904763]
50,0.99,0.65,16,[0.9548627  0.99247057 0.9980392  0.9980392 ]
50,0.99,0.65,17,[0.9599192  0.98925253 0.9959596  0.9989899 ]
50,0.99,0.65,18,[0.97620833 0.98870833 0.99895833 0.99791667]
50,0.99,0.65,19,[0.97124733 0.99221507 0.99569893 0.9935484 ]
50,0.99,0.65,20,[0.96844447 0.99377777 0.99444447 0.9988889 ]
50,0.99,0.65,21,[0.96898853 0.98880463 0.99885057 0.9965517 ]
50,0.99,0.65,22,[0.95928573 0.98780957 0.9952381  0.99761907]
50,0.99,0.65,23,[0.95301237 0.98879013 0.99382717 0.99876543]
50,0.99,0.65,24,[0.97041017 0.98717943 0.99358973 1.        ]
